[Sun Sep 18 17:30:47 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 2 | 
[Sun Sep 18 17:30:47 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 18 17:30:54 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:30:54 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 1 | Ores
[Sun Sep 18 17:30:54 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:30:54 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:31:06 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:31:06 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 1 | Peculair Blocks
[Sun Sep 18 17:31:06 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:31:06 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:31:13 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -4 | Line: 0 | 
[Sun Sep 18 17:31:13 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -4 | Line: 1 | Fancy Blocks
[Sun Sep 18 17:31:13 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -4 | Line: 2 | 
[Sun Sep 18 17:31:13 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 18 17:32:01 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:32:01 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 1 | Useful Blocks
[Sun Sep 18 17:32:01 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:32:01 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:32:11 EEST 2022] MihiBlu | Location: X: -71 Y: 64 Z: -4 | Line: 0 | 
[Sun Sep 18 17:32:11 EEST 2022] MihiBlu | Location: X: -71 Y: 64 Z: -4 | Line: 1 | Garden
[Sun Sep 18 17:32:11 EEST 2022] MihiBlu | Location: X: -71 Y: 64 Z: -4 | Line: 2 | 
[Sun Sep 18 17:32:11 EEST 2022] MihiBlu | Location: X: -71 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 18 17:32:20 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -6 | Line: 0 | 
[Sun Sep 18 17:32:20 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -6 | Line: 1 | Ores
[Sun Sep 18 17:32:20 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -6 | Line: 2 | 
[Sun Sep 18 17:32:20 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -6 | Line: 3 | 
[Sun Sep 18 17:32:25 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -6 | Line: 0 | 
[Sun Sep 18 17:32:25 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -6 | Line: 1 | Food
[Sun Sep 18 17:32:25 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -6 | Line: 2 | 
[Sun Sep 18 17:32:25 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -6 | Line: 3 | 
[Sun Sep 18 17:32:53 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -6 | Line: 0 | 
[Sun Sep 18 17:32:53 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -6 | Line: 1 | Food
[Sun Sep 18 17:32:53 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -6 | Line: 2 | 
[Sun Sep 18 17:32:53 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -6 | Line: 3 | 
[Sun Sep 18 17:33:40 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 0 | 
[Sun Sep 18 17:33:40 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 1 | Primary Blocks
[Sun Sep 18 17:33:40 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 2 | 
[Sun Sep 18 17:33:40 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 3 | 
[Sun Sep 18 17:33:45 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 0 | 
[Sun Sep 18 17:33:45 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 1 | Primary Blocks
[Sun Sep 18 17:33:45 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 2 | 
[Sun Sep 18 17:33:45 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 3 | 
[Sun Sep 18 17:33:53 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:33:53 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 1 | Primary Blocks
[Sun Sep 18 17:33:53 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:33:53 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:34:02 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:34:02 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 1 | wood
[Sun Sep 18 17:34:02 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:34:02 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:34:07 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 0 | 
[Sun Sep 18 17:34:07 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 1 | Garden
[Sun Sep 18 17:34:07 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 2 | 
